topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0.0,0.07304331367636696,0.18071478233351362,0.0,0.0,0.04472418890364006,5.641270658373194e-05,0.044779452384846714,0.022457636082959163,0.06795242719741863
0.010647149157703786,0.007219096580291628,0.09786708446342113,0.005057739717548884,0.003878007595719966,0.0,0.0,0.0,0.010051522175034227,0.012125363283990265
0.14159062446756088,0.0003478195177420138,0.0,0.0,0.0,0.0045455553658032485,0.0,0.0,3.937237377664243e-05,0.015058566759181765
0.01237386591528558,0.0003037234775761142,0.0232039706677098,0.0,0.0009476893865937527,0.00044151178863328954,0.0,0.0,0.0,0.0
0.06657628990596735,0.09034998929911471,0.04623284748544414,0.0,0.2582008737960547,0.0,0.0036578063133567143,0.06984867672703782,0.055452925730168655,0.028340724206145487
0.03301530811635959,0.00026688877291834116,0.02794258762529381,0.0,0.022787611414633858,0.0,0.0,0.0,0.0,0.010273181395680453
0.026350348043882043,6.92056844294504e-05,0.0,0.0,0.00019897700366199335,0.05350805376861023,0.018501728523887963,0.04387223328815968,0.08294892855639241,0.0056379848440280145
0.03746020657095905,0.0,0.02089915596512756,0.0,0.0,0.005378513061228172,0.002695331104853027,0.0,0.11633059023184086,0.06208771875460782
0.14778294883830928,0.0,0.0048747111519992555,0.007137533443517884,0.00038689448757817915,0.08979325348753606,0.0,0.1277711748135971,0.04151222723827252,0.0
0.05157237645972247,0.07629017433602944,0.018031493341112394,0.0034678990028664666,0.021114097737081602,0.0,0.011009124332598486,0.0,0.0661819627550203,0.0
0.024789566619216673,0.0,0.03752504775852755,0.011534477384431488,0.14466477738935798,0.0,0.008112424436555904,0.015649059338848297,0.04351179114494258,0.0
0.027744187947162276,0.0,0.043942847805528706,0.0031069893048516484,0.0005948902969360339,0.030313583898051173,0.0204664270104666,0.0056308177716727775,0.011415771863384947,0.03256798517084916
0.0,0.0,0.14118049143582106,0.0,0.0,0.003965589095127205,0.0038677007651337233,0.0,0.0024158931954435287,0.0
0.07738235926715223,0.3315712239576217,0.07954528556610306,0.05782834583848799,0.01093155787536208,0.0,0.0,0.017654584693125103,0.0,0.022881990437174916
0.041466387875482465,0.00037932123922356707,0.06329102371913442,0.0,0.0,0.021906715922979755,0.0,0.03711650872595447,0.052876854272380126,0.08536272714409684
0.01984681546139409,0.0036239090741992954,0.03408262725012602,0.0,0.0055049986808007635,0.0,0.0,0.03818903000528146,0.0,0.07341597728954768
0.09729870965350258,0.083796716719098,0.07027013766312046,0.0,0.022819805117011187,0.0048187067787143914,0.0,0.0,0.03365499108610525,0.1587683040967547
0.1436279935147204,0.0,0.0,0.0,0.0,0.015520531327274548,0.0,0.0,0.03435213115648972,0.0
0.041395437574721035,0.09361347181116071,0.019761571598990755,0.0,0.0,0.15296313241479928,0.0,0.19868436968141992,0.11176782759642793,0.07966189358694932
0.0,0.0,0.06441230933331618,0.15027914445661417,0.0,0.04540513730031369,0.0,0.0,0.0525179981159108,0.0
0.07855554704118174,0.0,0.010747079974226293,0.0,0.0,0.0,0.0,0.0544604630112342,0.007403789674688297,0.009100008486662167
0.09640915309709386,0.023391574923481574,0.09607233765635836,0.007153429920268573,0.0,0.20845352483968552,0.0,0.0,0.029418686334393145,0.10673803111124665
0.028144839791584546,0.0,0.06321083159615974,0.0,0.0007887329811051298,0.0,0.000883456338082583,0.0,0.0,0.022939062350250814
0.07939865476343283,0.0029857559749261933,0.09696016662475096,0.0,0.0,0.0,0.0,0.0,0.0,0.04677179596311268
0.0,0.0,0.0,0.34618216132132346,0.0,0.16861744186498862,0.0,0.0,0.0,0.0
0.060115985806187155,0.0,0.03220515825728629,0.012362982455920468,0.012480892188993847,0.2544691487377727,0.0827690895202973,0.02366633863523096,0.0882138379550119,0.0010175200914813863
0.02906629762840773,0.0,0.08473597181150005,0.0,0.001408880179838756,0.039694207702858676,0.004534390318112304,0.01799534285189504,0.08706115648699236,0.0
0.027460647263234852,0.0012018115103446226,0.05448559720063077,0.0,0.0,0.010479344988741625,0.0,0.050535649082084654,0.0389853238457908,0.010538712844935441
0.0823979776619721,0.0005139367003587259,0.13482644017789466,0.04003494466923818,0.0006014796951176601,0.015018702703664684,0.0025490967828872544,0.04529791620773049,0.021253863759760117,0.029137987774901154
